fipst,stab,state,workers1994,workers1995,workers1996,workers1997,workers1998,workers1999,workers2000,workers2001,workers2002,workers2003,workers2004,workers2005,workers2006,workers2007,workers2008,workers2009,workers2010,workers2011,workers2012,workers2013,share_cut1994,share_cut1995,share_cut1996,share_cut1997,share_cut1998,share_cut1999,share_cut2000,share_cut2001,share_cut2002,share_cut2003,share_cut2004,share_cut2005,share_cut2006,share_cut2007,share_cut2008,share_cut2009,share_cut2010,share_cut2011,share_cut2012,share_cut2013,avgshare,avgshare94_00,avgshare01_07,avgshare08_12
39,OH,Ohio,2496,3371,2784,4635,2352,4664,4514,6108,11674,8818,6634,3993,13432,9228,10061,22054,11802,4478,5662,1805,0.6,0.8,0.6,1.0,0.5,1.0,0.9,1.3,2.5,1.9,1.4,0.9,2.9,2.0,2.2,5.0,2.8,1.0,1.3,0.4,1.72,0.77,1.84,2.46
53,WA,Washington,1945,2223,960,902,2029,1423,5563,3249,20421,2796,7401,1307,1030,1390,1843,5280,3541,2581,2297,1715,1.0,1.2,0.5,0.4,1.0,0.7,2.5,1.4,9.4,1.3,3.4,0.6,0.4,0.6,0.7,2.2,1.6,1.1,1.0,0.7,1.69,1.04,2.44,1.32
44,RI,Rhode Island,395,892,775,906,458,1032,586,361,530,679,350,931,1016,559,1257,808,629,456,52,65,1.1,2.4,2.1,2.4,1.2,2.6,1.4,0.9,1.3,1.6,0.8,2.2,2.4,1.3,3.0,2.0,1.6,1.1,0.1,0.2,1.64,1.87,1.50,1.57
13,GA,Georgia,3499,4634,7286,5536,6671,6796,2559,7597,6765,5266,4972,5382,5623,2755,4754,4342,3270,1956,1503,1251,1.3,1.7,2.5,1.8,2.1,2.1,0.8,2.2,2.1,1.6,1.5,1.6,1.6,0.8,1.4,1.3,1.0,0.6,0.5,0.4,1.51,1.76,1.65,0.96
16,ID,Idaho,301,548,680,952,458,229,210,963,1913,1703,171,515,90,893,455,1376,547,282,413,168,0.8,1.5,1.8,2.4,1.1,0.5,0.5,2.1,4.2,3.7,0.4,1.1,0.2,1.7,0.8,2.7,1.1,0.6,0.8,0.3,1.51,1.23,1.90,1.22
54,WV,West Virginia,602,901,820,428,428,1251,405,283,1559,899,927,475,1250,357,453,2508,1373,388,852,108,1.1,1.6,1.5,0.8,0.7,2.2,0.7,0.5,2.6,1.5,1.6,0.8,2.0,0.6,0.7,4.1,2.3,0.7,1.4,0.2,1.45,1.23,1.38,1.85
51,VA,Virginia,1623,1918,1336,2528,5156,2580,2923,6014,8306,6624,3837,2452,3742,2908,4274,6353,4634,2710,1254,825,0.7,0.8,0.5,1.0,1.9,0.9,1.0,2.1,2.9,2.3,1.3,0.8,1.2,0.9,1.4,2.1,1.6,0.9,0.4,0.3,1.38,0.98,1.66,1.28
40,OK,Oklahoma,2835,1432,871,458,741,1767,798,1176,5234,2746,1534,687,4116,1031,1814,1170,841,751,902,1472,2.8,1.4,0.8,0.4,0.6,1.5,0.7,1.0,4.4,2.3,1.3,0.6,3.4,0.8,1.4,0.9,0.7,0.6,0.7,1.2,1.30,1.18,1.96,0.88
20,KS,Kansas,715,432,690,402,213,1448,2398,150,5170,580,3800,265,666,133,440,325,1278,4582,641,989,0.8,0.5,0.7,0.4,0.2,1.3,2.2,0.1,4.7,0.5,3.6,0.2,0.6,0.1,0.4,0.3,1.2,4.3,0.6,0.9,1.27,0.86,1.42,1.35
35,NM,New Mexico,676,385,472,1579,729,2455,231,166,952,277,80,73,68,0,2645,1047,1141,34,474,0,1.4,0.8,0.9,3.0,1.4,4.5,0.4,0.3,1.7,0.5,0.1,0.1,0.1,0.0,4.1,1.7,1.9,0.1,0.8,0.0,1.26,1.76,0.40,1.69
29,MO,Missouri,2132,3288,1579,2393,722,3818,2424,3938,3069,3549,2296,2193,3631,1953,4140,3999,5457,2029,1121,1967,1.0,1.6,0.7,1.1,0.3,1.7,1.0,1.7,1.3,1.6,1.0,1.0,1.6,0.8,1.8,1.7,2.5,0.9,0.5,0.9,1.25,1.06,1.28,1.48
33,NH,New Hampshire,181,90,145,,731,828,390,1488,1076,650,566,1424,889,579,339,569,826,285,551,114,0.4,0.2,0.3,0.0,1.5,1.6,0.7,2.7,2.0,1.2,1.1,2.6,1.6,1.0,0.6,1.0,1.6,0.5,1.0,0.2,1.25,0.67,1.76,0.96
50,VT,Vermont,290,79,,100,,55,26,334,668,687,343,440,429,332,134,871,272,78,48,236,1.3,0.4,0.0,0.4,0.0,0.2,0.1,1.3,2.7,2.8,1.4,1.7,1.7,1.3,0.5,3.5,1.1,0.3,0.2,0.9,1.14,0.35,1.84,1.14
25,MA,Massachusetts,1878,3469,739,1862,2397,3835,2506,2109,3037,5940,2964,2429,2160,2927,2823,7072,2148,2059,3904,3420,0.8,1.4,0.3,0.7,0.9,1.4,0.9,0.7,1.1,2.1,1.1,0.9,0.8,1.0,1.0,2.5,0.8,0.7,1.4,1.2,1.07,0.89,1.09,1.28
17,IL,Illinois,2164,4212,1636,2289,3229,2784,2641,8015,10983,9588,7098,5712,3641,2942,3720,12707,8712,1699,2149,3282,0.5,0.9,0.3,0.5,0.6,0.5,0.5,1.5,2.2,1.9,1.4,1.1,0.7,0.6,0.7,2.6,1.8,0.4,0.4,0.7,1.06,0.55,1.36,1.19
48,TX,Texas,5319,6063,5728,9784,5735,21881,3664,6757,19624,9911,5128,4867,2098,5571,5581,9589,10197,4602,9669,4295,0.9,0.9,0.9,1.4,0.8,2.9,0.5,0.8,2.5,1.3,0.7,0.6,0.3,0.7,0.6,1.1,1.2,0.5,1.1,0.5,1.05,1.17,0.97,0.91
27,MN,Minnesota,1293,103,1107,854,899,925,491,3959,4616,4499,951,2006,812,2015,1963,5231,3331,1762,2527,1614,0.7,0.1,0.5,0.4,0.4,0.4,0.2,1.7,2.0,2.0,0.4,0.9,0.3,0.9,0.8,2.3,1.5,0.8,1.1,0.7,0.99,0.39,1.18,1.30
09,CT,Connecticut,425,423,209,1372,843,1211,416,1504,1378,1201,1861,810,956,1983,1568,1963,2578,1891,1466,510,0.3,0.3,0.2,1.0,0.6,0.8,0.3,1.0,1.0,0.9,1.3,0.6,0.7,1.4,1.1,1.4,1.9,1.4,1.0,0.4,0.97,0.50,0.97,1.36
30,MT,Montana,1223,434,310,446,516,262,248,218,362,622,0,282,,272,233,623,423,14,6,237,4.8,1.6,1.1,1.6,1.8,0.9,0.8,0.7,1.2,2.0,0.0,0.9,0.0,0.8,0.6,1.8,1.3,0.0,0.0,0.7,0.91,1.78,0.78,0.75
19,IA,Iowa,83,480,612,649,69,612,170,757,1026,1057,1189,705,3049,1143,1063,2817,1676,1723,191,1408,0.1,0.4,0.5,0.6,0.1,0.5,0.1,0.6,0.9,0.9,1.0,0.6,2.4,0.9,0.8,2.3,1.4,1.4,0.2,1.1,0.89,0.33,1.04,1.21
46,SD,South Dakota,0,0,,91,0,80,164,157,163,1381,55,364,15,,1161,925,,,86,11,0.0,0.0,0.0,0.3,0.0,0.3,0.5,0.5,0.5,4.5,0.2,1.2,0.0,0.0,3.5,2.8,0.0,0.0,0.3,0.0,0.86,0.16,1.00,1.30
22,LA,Louisiana,1459,490,841,4244,620,3107,230,2224,899,780,212,286,181,767,1684,1501,1177,569,2678,657,1.1,0.4,0.6,2.9,0.4,2.0,0.1,1.4,0.6,0.5,0.1,0.2,0.1,0.5,1.1,1.0,0.8,0.4,1.7,0.4,0.85,1.07,0.50,0.98
34,NJ,New Jersey,3583,5605,3910,2916,2992,4185,2425,2353,3090,5550,2219,2096,1217,2320,1875,4340,2798,1558,1381,868,1.2,1.9,1.3,0.9,0.9,1.3,0.7,0.7,0.9,1.7,0.7,0.6,0.4,0.7,0.5,1.3,0.9,0.5,0.4,0.3,0.85,1.18,0.80,0.73
04,AZ,Arizona,480,116,506,195,753,4788,147,530,1576,2141,1831,914,1382,1083,1799,5453,3477,464,475,446,0.4,0.1,0.3,0.1,0.4,2.7,0.1,0.3,0.8,1.1,0.9,0.4,0.6,0.5,0.8,2.6,1.8,0.2,0.2,0.2,0.83,0.59,0.68,1.13
56,WY,Wyoming,609,134,566,16,798,616,79,0,111,130,26,0,,,,46,,,,49,3.9,0.8,3.5,0.1,4.7,3.6,0.4,0.0,0.6,0.7,0.1,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.2,0.82,2.44,0.21,0.04
36,NY,New York,8688,7527,5474,4716,7056,6548,3678,4256,7015,8821,3849,5022,3566,4939,6381,5933,7674,8709,3756,3917,1.4,1.2,0.8,0.7,1.0,0.9,0.5,0.6,1.0,1.3,0.6,0.7,0.5,0.7,0.9,0.8,1.1,1.2,0.5,0.5,0.82,0.94,0.76,0.91
49,UT,Utah,365,922,731,700,973,309,123,1080,396,742,471,393,145,746,838,1309,1937,208,402,546,0.5,1.3,0.9,0.9,1.2,0.4,0.1,1.2,0.4,0.8,0.5,0.4,0.1,0.7,0.8,1.3,2.0,0.2,0.4,0.5,0.74,0.76,0.62,0.95
08,CO,Colorado,1302,1655,1299,129,685,3024,1945,555,809,1997,776,1419,2316,843,1498,1537,1950,730,1397,395,0.9,1.1,0.8,0.1,0.4,1.7,1.1,0.3,0.4,1.1,0.4,0.8,1.2,0.4,0.8,0.8,1.1,0.4,0.7,0.2,0.74,0.87,0.67,0.75
06,CA,California,3441,3292,6785,4252,3570,7848,7168,4511,13556,12250,7260,9584,10794,7488,9480,13149,14513,8170,6554,4628,0.3,0.3,0.6,0.4,0.3,0.7,0.6,0.4,1.1,1.0,0.6,0.8,0.8,0.6,0.7,1.1,1.2,0.7,0.5,0.4,0.72,0.47,0.75,0.86
31,NE,Nebraska,1,115,505,45,76,182,790,13,476,1535,918,162,153,730,218,1028,250,877,67,407,0.0,0.2,0.7,0.1,0.1,0.2,1.0,0.0,0.6,2.0,1.2,0.2,0.2,0.9,0.3,1.3,0.3,1.1,0.1,0.5,0.62,0.34,0.75,0.62
38,ND,North Dakota,527,92,197,21,637,463,0,,31,150,,27,76,0,173,452,453,0,,336,2.4,0.4,0.8,0.1,2.6,1.8,0.0,0.0,0.1,0.6,0.0,0.1,0.3,0.0,0.6,1.6,1.6,0.0,0.0,0.9,0.60,1.16,0.16,0.75
10,DE,Delaware,175,,0,0,,152,,0,2,348,324,245,149,39,1,1968,8,5,,22,0.6,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,1.0,0.9,0.7,0.4,0.1,0.0,5.4,0.0,0.0,0.0,0.1,0.53,0.14,0.43,1.09
24,MD,Maryland,670,2001,1141,820,844,793,517,212,637,2235,176,946,1379,1627,989,475,1206,1537,547,270,0.4,1.1,0.7,0.4,0.5,0.4,0.3,0.1,0.3,1.1,0.1,0.5,0.7,0.8,0.5,0.2,0.6,0.8,0.3,0.1,0.47,0.54,0.50,0.46
12,FL,Florida,1302,1006,1487,436,1546,2027,1137,2561,3480,1704,1109,1832,433,1033,1599,2941,2944,440,4421,2363,0.3,0.2,0.3,0.1,0.3,0.4,0.2,0.4,0.6,0.3,0.2,0.3,0.1,0.1,0.2,0.5,0.5,0.1,0.7,0.4,0.30,0.24,0.28,0.39
32,NV,Nevada,3,313,3,,41,1559,5,257,278,223,104,319,140,26,70,64,38,604,272,262,0.0,0.5,0.0,0.0,0.1,1.9,0.0,0.3,0.3,0.2,0.1,0.3,0.1,0.0,0.1,0.1,0.0,0.6,0.3,0.3,0.26,0.34,0.20,0.21
15,HI,Hawaii,295,0,,,,1,2,,,70,,149,,238,66,,7,,,232,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.3,0.0,0.5,0.1,0.0,0.0,0.0,0.0,0.5,0.06,0.10,0.14,0.03
11,DC,District of Columbia,,72,,,,,,,,5,1,0,,,,,50,,,,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.01,0.03,0.00,0.02
